"person","birthDate","deathDate","personName"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22224","1557","http://www.vondel.humanities.uva.nl/ecartico/persons/22224#deathdate","Nicolaes Huybrechts"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2230","1545","http://www.vondel.humanities.uva.nl/ecartico/persons/2230#deathdate","Adriaen van Cronenburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22503","1511","http://www.vondel.humanities.uva.nl/ecartico/persons/22503#deathdate","Aeff Jansdr. Pauw"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22509","1533","http://www.vondel.humanities.uva.nl/ecartico/persons/22509#deathdate","Dieuwer Jacobsdr."
"http://www.vondel.humanities.uva.nl/ecartico/persons/22517","1548","http://www.vondel.humanities.uva.nl/ecartico/persons/22517#deathdate","Aert Tholincx"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22538","1540","1597-09-29","Reinerus Sarcerius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22544","1571","http://www.vondel.humanities.uva.nl/ecartico/persons/22544#deathdate","Jan Boogaert"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22637","1578-01-17","1636-04-28","Pieter Jansz Schagen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22638","1575-12-04","http://www.vondel.humanities.uva.nl/ecartico/persons/22638#deathdate","Maritgen Gillis Oudensteyn"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22838","1557","http://www.vondel.humanities.uva.nl/ecartico/persons/22838#deathdate","Barta van Reidt"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22864","1578","1653","Thomas Schimmelpenninck"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22878","1568","http://www.vondel.humanities.uva.nl/ecartico/persons/22878#deathdate","Charles du Ry"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22907","1503","1569","Joost vander Beke"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22959","1565","http://www.vondel.humanities.uva.nl/ecartico/persons/22959#deathdate","Jean Clinquant"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23006","1551","1635-03-18","Jacob Dircksz. Brouwer"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23063","1561-10-21","http://www.vondel.humanities.uva.nl/ecartico/persons/23063#deathdate","Augustijn van Teijlingen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23137","1549","1619","Johan van Swinderen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23145","1559","http://www.vondel.humanities.uva.nl/ecartico/persons/23145#deathdate","Hector Crucer"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23149","1575","http://www.vondel.humanities.uva.nl/ecartico/persons/23149#deathdate","Jacob Gerits van Tulden"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23166","1547","1614","Simon Adriaensz Rottermont"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23584","1558-06-24","1628-01-02","Jacomina Hondius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23690","1582","http://www.vondel.humanities.uva.nl/ecartico/persons/23690#deathdate","David Fransen Menton"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23718","1587","http://www.vondel.humanities.uva.nl/ecartico/persons/23718#deathdate","Willem Ambrosius Roosmale"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23981","1548","http://www.vondel.humanities.uva.nl/ecartico/persons/23981#deathdate","BartholomaÌus Kilian"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23985","1579","1637","Lucas Kilian"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23988","1581-05-10","1662","Wolfgang Kilian"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24150","1512-03-05","1594-12-02","Gerard Mercator"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24192","1558-12-18","1611-02-11","Cornelis de Bisschop"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24203","1541","1624-04-26","Jan Jacobsz. Bal genaamd Huydecoper"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24205","1566","1652-09-27","Lysbeth Gerritsdr. van Gemen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24246","1577","http://www.vondel.humanities.uva.nl/ecartico/persons/24246#deathdate","Hendrick Coppit"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24247","1584","http://www.vondel.humanities.uva.nl/ecartico/persons/24247#deathdate","Silleken Princen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24341","1532","http://www.vondel.humanities.uva.nl/ecartico/persons/24341#deathdate","Francois Provoost"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24459","1554","1601","Hubert Caymox"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24462","1561-01-06","1635-03-07","Balthasar Caymox"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24564","1582","http://www.vondel.humanities.uva.nl/ecartico/persons/24564#deathdate","Filips van Hooswinckel"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24612","1585-09-11","1653-10-08","Albert Wijfringh"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24624","1577","1638-03-10","Cornelis van der Geest"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24811","1510","1568-04-09","Jan Commelin"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24875","1570","1628-10-24","Otto Hoynck"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24876","1576","1660","Anna de Gorter gezegd van Muylwyck"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24946","1578","http://www.vondel.humanities.uva.nl/ecartico/persons/24946#deathdate","Hans Falck"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25160","1546-07","1599","Godevaert van Haecht"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25551","1541","1632","Franchoys van Hoogstraten"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25575","1547-04-08","1619-01-29","Trijn Klaes Gaefdr."
"http://www.vondel.humanities.uva.nl/ecartico/persons/25578","1583-10-25","http://www.vondel.humanities.uva.nl/ecartico/persons/25578#deathdate","Lambert Lambertsz Opsy"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25614","1520","1582-12-15","Giorgio Ghisi"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25625","1570","1646-07-16","Pieter Jacobsz"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25656","1549","http://www.vondel.humanities.uva.nl/ecartico/persons/25656#deathdate","Hans Verhulst"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25676","1578","http://www.vondel.humanities.uva.nl/ecartico/persons/25676#deathdate","Jan Willemsz Beelt"
"http://www.vondel.humanities.uva.nl/ecartico/persons/26021","1580","1644-08-09","Hester Willemsdr. Doncker"
"http://www.vondel.humanities.uva.nl/ecartico/persons/26288","1546","1599-10-16","Johannes Ambrosius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/26290","1570","1628","Lucas Ambrosius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/26300","1560-10-31","http://www.vondel.humanities.uva.nl/ecartico/persons/26300#deathdate","Aachje Heindrickx Loen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/26650","1565-03-18","1641-07-15","Aernout van Buchel"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2709","1526-02-19","1609-04-04","Charles de l' Ecluse"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27463","1544","1626","Diego Duarte"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27629","1549","http://www.vondel.humanities.uva.nl/ecartico/persons/27629#deathdate","Hans Bouwens"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27633","1523","http://www.vondel.humanities.uva.nl/ecartico/persons/27633#deathdate","Laureys de Groote I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27738","1582","http://www.vondel.humanities.uva.nl/ecartico/persons/27738#deathdate","Eleazar Swalmius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27792","1577","http://www.vondel.humanities.uva.nl/ecartico/persons/27792#deathdate","Francois Roegiers"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27805","1551","http://www.vondel.humanities.uva.nl/ecartico/persons/27805#deathdate","Joos Grijsperre"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27839","1585","http://www.vondel.humanities.uva.nl/ecartico/persons/27839#deathdate","Artus van den Bogaerde de jonghe"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27841","1559","http://www.vondel.humanities.uva.nl/ecartico/persons/27841#deathdate","Artus van den Bogaerde de oude"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27854","1544","1623","Jan Calandrini"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27855","1514","1573","Giuliano Calandrini"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27861","1565","http://www.vondel.humanities.uva.nl/ecartico/persons/27861#deathdate","Pierre Wijnmans"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27864","1582","http://www.vondel.humanities.uva.nl/ecartico/persons/27864#deathdate","Arnoult de Witte"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27890","1578","http://www.vondel.humanities.uva.nl/ecartico/persons/27890#deathdate","Philips Foullon"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27891","1566","http://www.vondel.humanities.uva.nl/ecartico/persons/27891#deathdate","Catelijn Sijmons"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27893","1530","http://www.vondel.humanities.uva.nl/ecartico/persons/27893#deathdate","Jan Gras"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27983","1573","http://www.vondel.humanities.uva.nl/ecartico/persons/27983#deathdate","Dierick de Rasier"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27994","1530","http://www.vondel.humanities.uva.nl/ecartico/persons/27994#deathdate","Merten de Wilde"
"http://www.vondel.humanities.uva.nl/ecartico/persons/27995","1571","http://www.vondel.humanities.uva.nl/ecartico/persons/27995#deathdate","Jacques van Tol"
"http://www.vondel.humanities.uva.nl/ecartico/persons/28112","1556","http://www.vondel.humanities.uva.nl/ecartico/persons/28112#deathdate","Hans Tijsz"
"http://www.vondel.humanities.uva.nl/ecartico/persons/28119","1565-08-09","1640-11-07","Anthonij Tysz"
"http://www.vondel.humanities.uva.nl/ecartico/persons/28431","1524-07-28","1602","Erasmus van Houwelingen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/28467","1575","http://www.vondel.humanities.uva.nl/ecartico/persons/28467#deathdate","Griet Jans"
"http://www.vondel.humanities.uva.nl/ecartico/persons/28673","1579","http://www.vondel.humanities.uva.nl/ecartico/persons/28673#deathdate","Henri le Roy"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2869","1574","1629-04-30","Henry Faydherbe"
"http://www.vondel.humanities.uva.nl/ecartico/persons/28790","1580","1652","Jan Cornelisz Munster"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29174","1575","1624-09-18","Jan Willemsz Calkoen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29615","1576","http://www.vondel.humanities.uva.nl/ecartico/persons/29615#deathdate","Jaspar Panten"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2979","1578","1635","Lucas Floquet I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29817","1532-06-24","1592-08-15","Wilhelm IV von Hessen-Kassel"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29818","1572-05-25","1632-03-15","Moritz von Hessen-Kassel"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29819","1528-08-10","1584-11-17","Erich II von Braunschweig-Calenberg-Göttingen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2985","1551","1615-05-12","Cornelis Floris III"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29864","1546","1589","Jakob von Waldburg-Zeil"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29867","1573-04-27","1651-09-27","Maximilian I. von Bayern"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29872","1548-10-09","1626-02-07","Wilhelm V. von Bayern"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29874","1578-11-04","1653-03-20","Wolfgang Wilhelm von der Pfalz-Neuburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29876","1554-12-27","1612-02-17","Ernst von Bayern"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29877","1535-07-14","1592-08-20","Wilhelm der Jüngere von Braunschweig-Lüneburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29882","1577-10-06","1650-09-13","Ferdinand von Bayern"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29896","1585-03-05","1656-10-08","Johann Georg I. von Sachsen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29900","1566-11-09","1633-11-08","Christian von Braunschweig-Lüneburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29901","1571-01-01","1636-01-01","Julius Ernst von Braunschweig-Lüneburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29935","1552-07-18","1612-01-20","Rudolf II. (HRR)"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29936","1556","1627-09-12","Ibrahim Adil Shah II"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29942","1578-07-09","1637-02-15","Ferdinand II (HRR)"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29943","1557-02-24","1619-03-20","Matthias (HRR)"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29944","1527-07-31","1576-10-12","Maximilian II (HRR)"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29945","1503-03-10","1564-07-25","Ferdinand I (HRR)"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29946","1500-02-24","1558-09-21","Karel V (HRR)"
"http://www.vondel.humanities.uva.nl/ecartico/persons/29948","1554-04-15","1613-12-07","Simon VI Lippe-Detmold"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3022","1574-01-23","1643-09-16","Lucas Franchoys I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3040","1581","1624-12-14","Hans Francken"
"http://www.vondel.humanities.uva.nl/ecartico/persons/30664","1556-03-03","1622-08-23","Elisabeth Rombouts"
"http://www.vondel.humanities.uva.nl/ecartico/persons/30831","1527-05-21","1598-09-13","Filips II van Spanje"
"http://www.vondel.humanities.uva.nl/ecartico/persons/30865","1583","1652-09-17","Bonaventura Elsevier"
"http://www.vondel.humanities.uva.nl/ecartico/persons/30867","1566-09-27","1635-12-16","Daniel Colonius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3120","1585-10","http://www.vondel.humanities.uva.nl/ecartico/persons/3120#deathdate","Nicolaes Aernoultsz van Geelkercken"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3135","1553","1619","Geldorp Gortzius gezeid Geldorp"
"http://www.vondel.humanities.uva.nl/ecartico/persons/31731","1539","http://www.vondel.humanities.uva.nl/ecartico/persons/31731#deathdate","Jean Niquet"
"http://www.vondel.humanities.uva.nl/ecartico/persons/31749","1583","1654","Samuel Bloemaert"
"http://www.vondel.humanities.uva.nl/ecartico/persons/31772","1559","http://www.vondel.humanities.uva.nl/ecartico/persons/31772#deathdate","Thibaut de Pickere"
"http://www.vondel.humanities.uva.nl/ecartico/persons/31779","1555-01-05","1634-02-10","Balthasar Coymans"
"http://www.vondel.humanities.uva.nl/ecartico/persons/31780","1566-08-15","1624-10-08","Isabeau de Pickere"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3179","1561","1635-01-19","Marcus Gheeraerts II"
"http://www.vondel.humanities.uva.nl/ecartico/persons/31902","1553-12-13","1610-05-14","Hendrik IV van Frankrijk"
"http://www.vondel.humanities.uva.nl/ecartico/persons/31905","1580","1626-10-30","Willebrord Snel van Royen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3232","1583","http://www.vondel.humanities.uva.nl/ecartico/persons/3232#deathdate","Nicolaes de Gijselaer"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3268","1580","1625-08-27","Peter Goetkint II"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3273","1558-02","1617-01-01","Hendrick Goltzius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3274","1526-10-30","1583-03-02","Hubert Goltzius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3326","1546","1614-02-07","Giles le Grand"
"https://data.create.humanities.uva.nl/id/notarissennetwerk/person/2196","1534","1603","Bartholomeus van der Wiere"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10027","1571-01-21","1639-10-07","Johannes Isacius Pontanus"
"http://www.vondel.humanities.uva.nl/ecartico/persons/11058","1584","1669-01-29","Johannes Lutma"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22512","1536","1601-04-07","Laurens Jacobsz Reaal"
"http://www.vondel.humanities.uva.nl/ecartico/persons/23772","1535-07-09","1612-04-18","Emanuel van Meteren"
"http://www.vondel.humanities.uva.nl/ecartico/persons/4493","1583","http://www.vondel.humanities.uva.nl/ecartico/persons/4493#deathdate","Pieter Pietersz. Lastman"
"http://www.vondel.humanities.uva.nl/ecartico/persons/4847","1548-05","1606-09-02","Karel van Mander I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/5264","1567-05-01","1641-06-27","Michiel Jansz van Miereveld"
"http://www.vondel.humanities.uva.nl/ecartico/persons/5634","1587","1658-07-07","Adriaen van Nieulandt I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/6423","1577-06-28","1640-05-30","Peter Paul Rubens"
"http://www.vondel.humanities.uva.nl/ecartico/persons/6582","1576","http://www.vondel.humanities.uva.nl/ecartico/persons/6582#deathdate","Roelant Savery"
"http://www.vondel.humanities.uva.nl/ecartico/persons/7049","1580-06-11","1662-09-21","Adriaen van Stalbemt"
"http://www.vondel.humanities.uva.nl/ecartico/persons/7091","1580-09","http://www.vondel.humanities.uva.nl/ecartico/persons/7091#deathdate","Hendrick (van) Steenwijck II"
"http://www.vondel.humanities.uva.nl/ecartico/persons/7983","1576","http://www.vondel.humanities.uva.nl/ecartico/persons/7983#deathdate","Cornelis Pietersz. van der Voort"
"http://www.vondel.humanities.uva.nl/ecartico/persons/8429","1566","1638-08-13","Joachim Anthonisz Wtewael"
"http://www.vondel.humanities.uva.nl/ecartico/persons/8648","1547","http://www.vondel.humanities.uva.nl/ecartico/persons/8648#deathdate","Roemer Pietersz. Visscher"
"http://www.vondel.humanities.uva.nl/ecartico/persons/8798","1565-05-15","1621-05-15","Hendrick de Keyser"
"http://www.vondel.humanities.uva.nl/ecartico/persons/9632","1562-05","1621-10-16","Jan Pietersz. Sweelinck"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10001","1551-04-22","1624-02-07","Christiaan Huygens"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10002","1561-10-28","1633-05-16","Suzanna Hoefnagel"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10041","1559-10-22","http://www.vondel.humanities.uva.nl/ecartico/persons/10041#deathdate","Celytgen van Meldert"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10042","1520","1597","Cornelis van Meldert"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10044","1557","1603-03-03","Tanneken Nuyts"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10045","1561-01-08","http://www.vondel.humanities.uva.nl/ecartico/persons/10045#deathdate","Daniel van Meldert"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10068","1558","1617","Walter Merian"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10069","1557","1629","Margarete Falkner"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10236","1550-11-23","1633-12-13","Hans van Soldt I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10251","1569-09-04","http://www.vondel.humanities.uva.nl/ecartico/persons/10251#deathdate","Hendrick Andriesz. Boelen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10253","1561","http://www.vondel.humanities.uva.nl/ecartico/persons/10253#deathdate","Pouwels Andriesz. Boelen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10295","1567-01-01","http://www.vondel.humanities.uva.nl/ecartico/persons/10295#deathdate","Joosje Cornelisdr. Gans"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10345","1545","http://www.vondel.humanities.uva.nl/ecartico/persons/10345#deathdate","Cornelis Francken"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10420","1559","http://www.vondel.humanities.uva.nl/ecartico/persons/10420#deathdate","Helena Heilwich van Valckenborch"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10441","1578","1659-09-02","Jan van der Veen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10621","1520","http://www.vondel.humanities.uva.nl/ecartico/persons/10621#deathdate","Cornelis van Veen sr."
"http://www.vondel.humanities.uva.nl/ecartico/persons/10646","1581","http://www.vondel.humanities.uva.nl/ecartico/persons/10646#deathdate","Bartha van Grave"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10676","1582","http://www.vondel.humanities.uva.nl/ecartico/persons/10676#deathdate","David Mijtens"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10693","1547","http://www.vondel.humanities.uva.nl/ecartico/persons/10693#deathdate","Willem Dircksz. van Poelenburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10696","1577","1665-12-05","Maritge Willemsdr. van Poelenburch"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10725","1517-07-14","1595-06-01","Cornelis van Beresteyn"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10726","1520-07-10","1596-12-12","Catharina Pauwelsdr van Outschoten"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10728","1556-08-15","1612-01-23","Arent van Beresteyn"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10732","1536","http://www.vondel.humanities.uva.nl/ecartico/persons/10732#deathdate","Cornelis Danckertsz."
"http://www.vondel.humanities.uva.nl/ecartico/persons/10734","1561","http://www.vondel.humanities.uva.nl/ecartico/persons/10734#deathdate","Cornelis Cornelisz. Danckerts"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10743","1576","http://www.vondel.humanities.uva.nl/ecartico/persons/10743#deathdate","David Jacobsz. de Wildt"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10744","1574","http://www.vondel.humanities.uva.nl/ecartico/persons/10744#deathdate","Maritgen Dircksdr. van Beest van Heemskerck"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10765","1585","http://www.vondel.humanities.uva.nl/ecartico/persons/10765#deathdate","Vincent Anthonissoon van Drielenburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10980","1571-12-09","1635-09-06","Adriaan Adriaansz. Metius"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10992","1572-01-10","1630","Dirck Volckertsz Seylmaker"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10995","1576","1633-02-19","Bernardus Gellius Schotanus"
"http://www.vondel.humanities.uva.nl/ecartico/persons/11013","1518-09-29","1594-05-31","Jacopo Comin"
"http://www.vondel.humanities.uva.nl/ecartico/persons/11027","1577-05-02","http://www.vondel.humanities.uva.nl/ecartico/persons/11027#deathdate","Jacob Pietersz. Nachtglas"
"http://www.vondel.humanities.uva.nl/ecartico/persons/11028","1576","1649-03-23","Catharina Claes van der Meij"
"http://www.vondel.humanities.uva.nl/ecartico/persons/11097","1587","1648-04-13","Martin Hermans Faber"
"http://www.vondel.humanities.uva.nl/ecartico/persons/11139","1581-03-16","1651-12-15","Nathan Vay"
"http://www.vondel.humanities.uva.nl/ecartico/persons/1119","1534-12-16","http://www.vondel.humanities.uva.nl/ecartico/persons/1119#deathdate","Hans (Simonsz) Bol"
